Island1,Island2,Distance,LandSea,Trophic,Functional,Taxonomic,Phylogenetic
Aguni,Aka,40355.62053,Sea,Invert,0.105510968,-1,122.9221935
Aguni,Amami,124509.2889,Sea,Invert,0.101318527,-1,123.9978278
Aguni,Aragusuku,417155.7011,Sea,Invert,0.108102844,-1,123.4311586
Aguni,Daito,404689.0827,Sea,Invert,0.098659614,-1,120.3917738
Aguni,Hateruma,440862.0557,Sea,Invert,0.105759646,-1,125.3649385
Aguni,Hatoma,411987.1093,Sea,Invert,0.108926742,-1,125.4695819
Aguni,Ie,51850.53545,Sea,Invert,0.106724044,-0.98,124.5317981
Aguni,Iheya,79466.89296,Sea,Invert,0.099355716,-1,122.6042925
Aguni,Ikema,267576.457,Sea,Invert,0.107386308,-1,130.5380195
Aguni,Iriomote,409195.6841,Sea,Invert,0.099014372,-0.69,122.2532394
Aguni,Ishigaki,361325.3304,Sea,Invert,0.099879107,-0.82,123.571122
Aguni,Izena,74753.16588,Sea,Invert,0.109904915,-1,126.0632735
Aguni,Kohama,406708.8396,Sea,Invert,0.103082578,-0.99,124.7960743
Aguni,Kudaka,78879.71193,Sea,Invert,0.10600584,-1,122.4655135
Aguni,Kume,36374.06695,Sea,Invert,0.104449736,-1,124.7893655
Aguni,Kuro,410821.6389,Sea,Invert,0.099683513,-1,122.4664533
Aguni,Miyako,264414.5411,Sea,Invert,0.09937232,-0.97,123.2464014
Aguni,Nakanougan,451042.2276,Sea,Invert,0.14104554,-1,147.1737676
Aguni,Okinawa,48916.78556,Sea,Invert,0.099075361,0.22,121.3848467
Aguni,Osumi,510580.9573,Sea,Invert,0.104487091,-0.98,128.4481392
Aguni,Panari,420055.2067,Sea,Invert,0.108102844,-1,123.4311586
Aguni,Senkaku,358870.9441,Sea,Invert,0.106164644,-1,121.6283658
Aguni,Taketomi,399439.6093,Sea,Invert,0.102361781,-1,122.8319348
Aguni,Tarama,321553.9307,Sea,Invert,0.108926742,-1,125.4695819
Aguni,Tokashiki,39545.11209,Sea,Invert,0.100083786,-1,120.5283974
Aguni,Tokora,297371.5493,Sea,Invert,0.113750671,-0.99,127.5122085
Aguni,Tonaki,22159.83737,Sea,Invert,0.106483019,-1,123.6422319
Aguni,Yagaji,74626.38302,Sea,Invert,0.103429487,-0.99,127.720359
Aguni,Yonaguni,479440.3602,Sea,Invert,0.098333249,-1,121.4698355
Aguni,Zamami,36696.32006,Sea,Invert,0.10600584,-1,122.4655135
Aka,Amami,143864.7804,Sea,Invert,0.104345948,-0.81,124.2741655
Aka,Aragusuku,397418.0607,Sea,Invert,0.107811353,-1,116.773619
Aka,Daito,393994.5401,Sea,Invert,0.102224019,-0.83,120.0971174
Aka,Hateruma,420470.9595,Sea,Invert,0.105931956,-1,118.9322462
Aka,Hatoma,395123.1284,Sea,Invert,0.108632253,-1,118.1779163
Aka,Ie,71330.90144,Sea,Invert,0.107957267,-1,119.0989273
Aka,Iheya,106789.0838,Sea,Invert,0.102516759,-1,122.3615907
Aka,Ikema,245551.8587,Sea,Invert,0.107822667,-1,123.6450765
Aka,Iriomote,390664.4603,Sea,Invert,0.102330423,-0.89,121.1268725
Aka,Ishigaki,342677.1036,Sea,Invert,0.103384391,0.3,123.7660548
Aka,Izena,98671.38762,Sea,Invert,0.109528553,-1,118.4554082
Aka,Kohama,387690.1497,Sea,Invert,0.105576912,-1,123.1220467
Aka,Kudaka,58564.86008,Sea,Invert,0.105835965,-1,114.4897714
Aka,Kume,37248.57764,Sea,Invert,0.105937143,-1,122.7497092
Aka,Kuro,390715.0736,Sea,Invert,0.102622443,-0.95,123.8167044
Aka,Miyako,241636.5314,Sea,Invert,0.102883786,-0.26,123.2422202
Aka,Nakanougan,433047.771,Sea,Invert,0.137304982,-1,139.4041326
Aka,Okinawa,34154.93912,Sea,Invert,0.102351089,-1,120.5820554
Aka,Osumi,543122.7066,Sea,Invert,0.106030275,-1,126.3302325
Aka,Panari,400261.641,Sea,Invert,0.107811353,-1,116.773619
Aka,Senkaku,359095.0602,Sea,Invert,0.105954361,-1,115.6532024
Aka,Taketomi,379685.0726,Sea,Invert,0.105576744,-1,122.3913924
Aka,Tarama,302306.5544,Sea,Invert,0.108632253,-1,118.1779163
Aka,Tokashiki,4186.431789,Sea,Invert,0.102536937,-1,116.4806067
Aka,Tokora,331448.8904,Sea,Invert,0.11280131,-1,121.875266
Aka,Tonaki,19814.42685,Sea,Invert,0.106436102,-1,116.0083396
Aka,Yagaji,86504.61503,Sea,Invert,0.104694966,-1,122.6022738
Aka,Yonaguni,466234.252,Sea,Invert,0.101747067,-0.81,121.2645106
Aka,Zamami,594.2114795,Sea,Invert,0.105835965,-1,114.4897714
Amami,Aragusuku,543176.2595,Sea,Invert,0.107571705,-1,125.693403
Amami,Daito,288331.3789,Sea,Invert,0.094904983,-0.96,118.5901195
Amami,Hateruma,566505.1758,Sea,Invert,0.104314581,-1,127.8108322
Amami,Hatoma,539419.5122,Sea,Invert,0.10897948,-1,128.1077692
Amami,Ie,66277.08528,Sea,Invert,0.104075726,0.13,124.3301793
Amami,Iheya,37341.8701,Sea,Invert,0.096496633,-1,122.2573398
Amami,Ikema,391863.9637,Sea,Invert,0.107055618,-1,133.7078893
Amami,Iriomote,535859.3386,Sea,Invert,0.095476838,-0.12,120.3935338
Amami,Ishigaki,487859.5681,Sea,Invert,0.095854465,0.32,121.685646
Amami,Izena,44926.02497,Sea,Invert,0.109753255,-1,128.3186811
Amami,Kohama,533114.2896,Sea,Invert,0.100738684,-0.96,124.7010344
Amami,Kudaka,107174.7959,Sea,Invert,0.105399037,-0.7,123.7779694
Amami,Kume,163969.6086,Sea,Invert,0.101555276,-0.97,124.4999406
Amami,Kuro,536608.6516,Sea,Invert,0.096014289,-0.98,121.8450275
Amami,Miyako,388145.3174,Sea,Invert,0.095346325,-0.95,121.6055764
Amami,Nakanougan,578018.6933,Sea,Invert,0.141611055,-1,152.9970128
Amami,Okinawa,22366.0103,Sea,Invert,0.094616802,-0.15,118.9594372
Amami,Osumi,202716.4202,Sea,Invert,0.101852779,-0.99,127.1207231
Amami,Panari,546040.2995,Sea,Invert,0.107571705,-1,125.693403
Amami,Senkaku,485368.1848,Sea,Invert,0.104254238,-0.7,121.69218
Amami,Taketomi,525427.276,Sea,Invert,0.099621952,-1,122.862958
Amami,Tarama,447701.979,Sea,Invert,0.10897948,-1,128.1077692
Amami,Tokashiki,135405.8586,Sea,Invert,0.097809194,-0.5,120.5842028
Amami,Tokora,56810.16089,Sea,Invert,0.112857064,-1,127.3304502
Amami,Tonaki,143744.3695,Sea,Invert,0.106408108,-1,125.7018793
Amami,Yagaji,54453.82302,Sea,Invert,0.100888781,-0.96,128.1264893
Amami,Yonaguni,608023.532,Sea,Invert,0.094411084,-0.53,119.3906013
Amami,Zamami,138009.673,Sea,Invert,0.105399037,-0.7,123.7779694
Aragusuku,Daito,733531.8178,Sea,Invert,0.106942747,-0.9,121.7456114
Aragusuku,Hateruma,21882.96715,Sea,Invert,0.104561585,-1,116.6209242
Aragusuku,Hatoma,27892.95919,Sea,Invert,0.104963847,-1,115.6552215
Aragusuku,Ie,469954.3341,Sea,Invert,0.110178006,-1,120.3388724
Aragusuku,Iheya,500907.1966,Sea,Invert,0.106835956,-1,123.3716858
